地名,センター,ペットボトル,プラスチック容器包装類,埋立ごみ,有害ごみ,食用びん類,飲料用空缶類,金属類,紙類（資源ごみ）
木ノ下,リサイクル事務所,金2 金4,金2 金4,金2,金2,金2,金2,金2,金2
京口,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
京月,リサイクル事務所,金2 金4,金2 金4,金2,金2,金2,金2,金2,金2
京月東,リサイクル事務所,金2 金4,金2 金4,金2,金2,金2,金2,金2,金2
京田,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
京田新町,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
京田団地,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
京橋,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
清美が丘,リサイクル事務所,火3 ,火3 ,火3,火3,火3,火3,火3,火3
清道,リサイクル事務所,火3 ,火3 ,火3,火3,火3,火3,火3,火3
久田美,リサイクル事務所,木4 ,木4 ,木4,木4,木4,木4,木4,木4
公文名,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
クラウンマンション,リサイクル事務所,月1 月3,月1 月3,月1,月1,月1,月1,月1,月1
倉谷,リサイクル事務所,木1 木3,木1 木3,木3,木3,木3,木3,木3,木3
倉谷西,リサイクル事務所,木1 木3,木1 木3,木3,木3,木3,木3,木3,木3
倉谷東,リサイクル事務所,木1 木3,木1 木3,木3,木3,木3,木3,木3,木3
クレインズコート,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
クレインズタワー,リサイクル事務所,月1 月3,月1 月3,月1,月1,月1,月1,月1,月1
桑飼下,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
芥子谷口,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
芥子谷団地,リサイクル事務所,木2 ,木2 ,木2,木2,木2,木2,木2,木2
建青,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
公明会,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
河原,リサイクル事務所,金2 金4,金2 金4,金4,金4,金4,金4,金4,金4
寿,リサイクル事務所,金1 金3,金1 金3,金3,金3,金3,金3,金3,金3
小俣,リサイクル事務所,金2 金4,金2 金4,金4,金4,金4,金4,金4,金4
紺屋,リサイクル事務所,月4 ,月4 ,月4,月4,月4,月4,月4,月4
西方寺,リサイクル事務所,金2 金4,金2 金4,金4,金4,金4,金4,金4,金4
栄,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
桜木,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
笹部,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
佐波賀上,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
佐波賀下,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
サンケイ団地,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
三条上・下,リサイクル事務所,月1 月3,月1 月3,月1,月1,月1,月1,月1,月1
三の丸,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
Gステージ,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
敷島・東敷島,リサイクル事務所,火1 ,火1 ,火1,火1,火1,火1,火1,火1
敷野,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
志高,リサイクル事務所,金2 金4,金2 金4,金4,金4,金4,金4,金4,金4
地頭,リサイクル事務所,金4 ,金4 ,金4,金4,金4,金4,金4,金4
寺内,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
島崎,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
