地名,センター,ペットボトル,プラスチック容器包装類,埋立ごみ,有害ごみ,食用びん類,飲料用空缶類,金属類,紙類（資源ごみ）
道芝,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
三日市,リサイクル事務所,木4 ,木4 ,木4,木4,木4,木4,木4,木4
緑が丘,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
港,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
南上安,リサイクル事務所,木3 ,木3 ,木3,木3,木3,木3,木3,木3
南浮島,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
南田辺,リサイクル事務所,月4 ,月4 ,月4,月4,月4,月4,月4,月4
南浜元町,リサイクル事務所,火2 ,火2 ,火2,火2,火2,火2,火2,火2
ミニヨン浮島,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
三浜,リサイクル事務所,月2 月4,月2 月4,月2,月2,月2,月2,月2,月2
宮浮島,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
三宅,リサイクル事務所,月1 月3,月1 月3,月1,月1,月1,月1,月1,月1
三安団地,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
宮津口,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
宮前,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
御幸,リサイクル事務所,金2 金4,金2 金4,金2,金2,金2,金2,金2,金2
向ノ丁,リサイクル事務所,火4 ,火4 ,火4,火4,火4,火4,火4,火4
室牛,リサイクル事務所,月2 月4,月2 月4,月2,月2,月2,月2,月2,月2
元川新町,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
元川中町,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
元川東,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
元川本町,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
元浜,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
元浜西,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
桃山,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
森口,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
森駒ヶ谷,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
森三本木,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
森日の出,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
森宮,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
森大和,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
安岡,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
安岡新町,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
矢之助西,リサイクル事務所,水1 水3,水1 水3,水1,水1,水1,水1,水1,水1
矢之助東,リサイクル事務所,水1 ,水1 ,水1,水1,水1,水1,水1,水1
行永合同庁舎,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
行永桜通り,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
幸野,リサイクル事務所,金2 金4,金2 金4,金2,金2,金2,金2,金2,金2
油江,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
吉田,リサイクル事務所,水4 ,水4 ,水4,水4,水4,水4,水4,水4
吉野,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
与保呂,リサイクル事務所,金2 金4,金2 金4,金2,金2,金2,金2,金2,金2
竜宮,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
和江,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
若葉,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
和田,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
